Date,Close,Open,High,Low,Vol.
20-Feb-24,247.5,247.5,244,222.8,810.32K
19-Feb-24,247.5,275,247.5,247.5,299.74K
16-Feb-24,275,275,250,247.5,1.19M
15-Feb-24,275,275,250,247.5,1.25M
14-Feb-24,275,275,249.5,247.5,997.55K
13-Feb-24,275,275,252,248.7,1.20M
12-Feb-24,275,275,260,247.5,1.33M
09-Feb-24,275,275,265,248.1,281.97K
08-Feb-24,275,275,275,247.5,535.84K
07-Feb-24,275,275,275,268.6,276.88K
06-Feb-24,275,274,275,275,2.43M
05-Feb-24,274,290,274,274,1.77M
02-Feb-24,290,275,290,290,904.44K
01-Feb-24,275,281,275,275,1.80M
31-Jan-24,281,293.9,319.8,281,10.73M
30-Jan-24,293.9,293.9,292,271.1,1.78M
29-Jan-24,293.9,293.9,292,286,792.31K
26-Jan-24,293.9,293.9,292.4,286.1,884.98K
25-Jan-24,293.9,293.9,291.7,286,1.63M
24-Jan-24,293.9,293.9,292.9,285.3,885.78K
23-Jan-24,293.9,290,293.9,290,3.04M
22-Jan-24,290,290.1,290,290,6.08M
19-Jan-24,290.1,288.1,290.1,290,2.51M
18-Jan-24,288.1,288,288.1,288.1,1.66M
17-Jan-24,288,288,288,288,1.67M
16-Jan-24,288,283,288.5,286,1.59M
15-Jan-24,283,283,288.5,275.1,2.83M
12-Jan-24,283,283,287.9,280.1,382.85K
11-Jan-24,283,282,283,281.3,3.41M
10-Jan-24,282,295,285,282,3.50M
09-Jan-24,295,285,295,295,2.28M
08-Jan-24,285,285,285,283,4.02M
05-Jan-24,285,271.5,285,285,804.52K
04-Jan-24,271.5,264,271.5,271.5,1.37M
03-Jan-24,264,264,280,264,441.14K
02-Jan-24,264,264,274,263,564.33K
29-Dec-23,264,262.5,264,264,675.81K
28-Dec-23,262.5,251,262.5,255,3.10M
27-Dec-23,251,250,251,251,680.40K
22-Dec-23,250,259.8,250,250,2.20M
21-Dec-23,259.8,246.5,259.8,259.8,819.10K
20-Dec-23,246.5,246.5,249.5,247,925.74K
19-Dec-23,246.5,245,246.5,246.5,2.36M
18-Dec-23,245,245,245,245,2.42M
15-Dec-23,245,245,250,245,1.52M
14-Dec-23,245,245,250,245,839.83K
